field,weighting,relationship,controlling_for,method,n,effective_n,shrinkage,coefficient,p_nominal,p_corrected,verdict,correction,coefficient_reported,p_reported,coefficient_recomputed
operational,by sounding count,surface_albedo_NIR ~ impervious_fraction,,pearson,926,42.8,0.0462,+0.1928,3.327e-09,2.168e-01,"was significant, now is not",approximate,+0.1928,3.307e-09,+0.1928
operational,by sounding count,surface_albedo_NIR ~ impervious_fraction,,spearman,926,29.1,0.0315,+0.4286,1.148e-42,2.001e-02,significant,approximate,+0.4286,1.171e-42,+0.4286
operational,by sounding count,surface_albedo_NIR ~ rice_fraction_single,,pearson,531,22.1,0.0416,+0.2989,2.023e-12,1.756e-01,"was significant, now is not",approximate,+0.2989,2.019e-12,+0.2989
operational,by sounding count,surface_albedo_NIR ~ rice_fraction_single,,spearman,531,11.4,0.0215,+0.2646,5.879e-10,4.201e-01,"was significant, now is not",approximate,+0.2646,5.907e-10,+0.2646
operational,by sounding count,methane ~ impervious_fraction,,pearson,926,56.4,0.0609,+0.2124,6.608e-11,1.148e-01,"was significant, now is not",approximate,+0.2124,6.648e-11,+0.2124
operational,by sounding count,methane ~ impervious_fraction,,spearman,926,49.7,0.0536,+0.2202,1.244e-11,1.257e-01,"was significant, now is not",approximate,+0.2202,1.238e-11,+0.2202
operational,by sounding count,methane ~ rice_fraction_single,,pearson,531,122.3,0.2302,-0.0882,4.219e-02,3.335e-01,"was significant, now is not",approximate,-0.0882,4.213e-02,-0.0882
operational,by sounding count,methane ~ rice_fraction_single,,spearman,531,74.7,0.1406,-0.1346,1.880e-03,2.507e-01,"was significant, now is not",approximate,-0.1346,1.884e-03,-0.1346
operational,by sounding count,methane ~ impervious_fraction,surface_albedo_SWIR,pearson,926,66.1,0.0714,+0.0324,3.247e-01,7.961e-01,not significant either way,approximate,+0.0324,3.246e-01,+0.0324
operational,by sounding count,methane ~ impervious_fraction,surface_albedo_SWIR,spearman,926,88.5,0.0956,-0.0051,8.768e-01,9.623e-01,not significant either way,approximate,-0.0051,8.769e-01,+0.0864
operational,by sounding count,methane ~ rice_fraction_single,surface_albedo_SWIR,pearson,531,120.2,0.2264,-0.0657,1.305e-01,4.755e-01,not significant either way,approximate,-0.0657,1.310e-01,-0.0657
operational,by sounding count,methane ~ rice_fraction_single,surface_albedo_SWIR,spearman,531,68.7,0.1293,-0.1133,8.973e-03,3.552e-01,"was significant, now is not",approximate,-0.1133,9.015e-03,-0.1285
operational,by sounding count,methane ~ impervious_fraction,"surface_albedo_SWIR, surface_albedo_NIR, solar_zenith_angle",pearson,926,172.8,0.1866,+0.0614,6.181e-02,4.225e-01,not significant either way,approximate,+0.0614,6.242e-02,+0.0614
operational,by sounding count,methane ~ impervious_fraction,"surface_albedo_SWIR, surface_albedo_NIR, solar_zenith_angle",spearman,926,92.2,0.0996,-0.0218,5.076e-01,8.364e-01,not significant either way,approximate,-0.0218,5.081e-01,+0.0683
operational,by sounding count,methane ~ rice_fraction_single,"surface_albedo_SWIR, surface_albedo_NIR, solar_zenith_angle",pearson,531,133.7,0.2517,-0.0176,6.857e-01,8.402e-01,not significant either way,approximate,-0.0176,6.858e-01,-0.0176
operational,by sounding count,methane ~ rice_fraction_single,"surface_albedo_SWIR, surface_albedo_NIR, solar_zenith_angle",spearman,531,98.5,0.1855,-0.0146,7.371e-01,8.862e-01,not significant either way,approximate,-0.0146,7.380e-01,-0.0646
blended,unweighted,methane_blended ~ impervious_fraction,,pearson,926,48.1,0.0520,+0.3154,7.806e-23,2.879e-02,significant,exact,,,+0.3154
blended,unweighted,methane_blended ~ rice_fraction_single,,pearson,531,78.8,0.1484,+0.1449,8.132e-04,2.034e-01,"was significant, now is not",exact,,,+0.1449
blended,unweighted,methane_blended ~ surface_albedo_SWIR,,pearson,926,18.5,0.0200,+0.7624,7.698e-177,1.828e-04,significant,exact,,,+0.7624
blended,unweighted,methane_blended ~ impervious_fraction,surface_albedo_SWIR,pearson,926,58.7,0.0634,-0.0815,1.308e-02,5.405e-01,"was significant, now is not",exact,,,-0.0815
blended,unweighted,methane_blended ~ rice_fraction_single,surface_albedo_SWIR,pearson,531,89.8,0.1691,+0.0303,4.864e-01,7.773e-01,not significant either way,exact,,,+0.0303
blended,by sounding count,methane_blended ~ impervious_fraction,,pearson,926,48.1,0.0520,+0.1359,3.352e-05,3.566e-01,"was significant, now is not",approximate,,,+0.1359
blended,by sounding count,methane_blended ~ rice_fraction_single,,pearson,531,78.8,0.1484,-0.0967,2.589e-02,3.973e-01,"was significant, now is not",approximate,,,-0.0967
blended,by sounding count,methane_blended ~ surface_albedo_SWIR,,pearson,926,18.5,0.0200,+0.6605,3.976e-117,2.405e-03,significant,approximate,,,+0.6605
blended,by sounding count,methane_blended ~ impervious_fraction,surface_albedo_SWIR,pearson,926,55.2,0.0596,-0.1031,1.674e-03,4.529e-01,"was significant, now is not",approximate,,,-0.1031
blended,by sounding count,methane_blended ~ rice_fraction_single,surface_albedo_SWIR,pearson,531,77.1,0.1453,-0.0658,1.302e-01,5.696e-01,not significant either way,approximate,,,-0.0658
raw,unweighted,methane_raw ~ impervious_fraction,,pearson,926,58.6,0.0633,+0.4398,4.505e-45,5.127e-04,significant,exact,,,+0.4398
raw,unweighted,methane_raw ~ rice_fraction_single,,pearson,531,80.5,0.1515,+0.1891,1.147e-05,9.194e-02,"was significant, now is not",exact,,,+0.1891
raw,unweighted,methane_raw ~ surface_albedo_SWIR,,pearson,926,26.2,0.0283,+0.7375,1.081e-159,1.558e-05,significant,exact,,,+0.7375
raw,unweighted,methane_raw ~ impervious_fraction,surface_albedo_SWIR,pearson,926,185.7,0.2006,+0.1510,3.955e-06,3.987e-02,significant,exact,,,+0.1510
raw,unweighted,methane_raw ~ rice_fraction_single,surface_albedo_SWIR,pearson,531,108.5,0.2043,+0.0353,4.163e-01,7.158e-01,not significant either way,exact,,,+0.0353
raw,by sounding count,methane_raw ~ impervious_fraction,,pearson,926,58.6,0.0633,+0.3259,2.386e-24,1.205e-02,significant,approximate,,,+0.3259
raw,by sounding count,methane_raw ~ rice_fraction_single,,pearson,531,80.5,0.1515,-0.1287,2.973e-03,2.539e-01,"was significant, now is not",approximate,,,-0.1287
raw,by sounding count,methane_raw ~ surface_albedo_SWIR,,pearson,926,26.2,0.0283,+0.8069,1.726e-213,5.596e-07,significant,approximate,,,+0.8069
raw,by sounding count,methane_raw ~ impervious_fraction,surface_albedo_SWIR,pearson,926,179.7,0.1941,+0.1252,1.333e-04,9.420e-02,"was significant, now is not",approximate,,,+0.1252
raw,by sounding count,methane_raw ~ rice_fraction_single,surface_albedo_SWIR,pearson,531,122.2,0.2301,-0.0200,6.460e-01,8.270e-01,not significant either way,approximate,,,-0.0200
