quantity,value,unit,basis,note
cells carrying at least 4 sectors above 20 percent,0,cells,inventory,0.0 percent of observed cells
median sectors above 20 percent per observed cell,2.0,sectors,inventory,
cells carrying at least 2 sectors above 25 percent,488,cells,inventory,56.7 percent of observed cells
cells carrying at least 3 sectors above 25 percent,72,cells,inventory,8.4 percent of observed cells
cells carrying at least 4 sectors above 25 percent,0,cells,inventory,0.0 percent of observed cells
median sectors above 25 percent per observed cell,2.0,sectors,inventory,
cells carrying both rice and coal above 5 percent,1,cells,inventory,
cells carrying both rice and landfills above 5 percent,658,cells,inventory,
cells carrying both rice and wastewater above 5 percent,559,cells,inventory,
cells carrying both rice and oil_and_gas above 5 percent,38,cells,inventory,
cells carrying both coal and landfills above 5 percent,5,cells,inventory,
cells carrying both coal and wastewater above 5 percent,5,cells,inventory,
cells carrying both coal and oil_and_gas above 5 percent,0,cells,inventory,
cells carrying both landfills and wastewater above 5 percent,672,cells,inventory,
cells carrying both landfills and oil_and_gas above 5 percent,48,cells,inventory,
cells carrying both wastewater and oil_and_gas above 5 percent,47,cells,inventory,
"rice allocation vs impervious_fraction, Spearman",+0.2485,rank correlation,inventory,"over 926 analysis cells; Pearson -0.0646. A high value means this sector's allocation surface and this predictor are close to the same variable, so the sector cannot test the predictor"
"rice allocation vs rice_fraction_combined, Spearman",+0.1326,rank correlation,inventory,"over 531 analysis cells; Pearson +0.2526. A high value means this sector's allocation surface and this predictor are close to the same variable, so the sector cannot test the predictor"
"coal allocation vs impervious_fraction, Spearman",+0.1906,rank correlation,inventory,"over 926 analysis cells; Pearson +0.0317. A high value means this sector's allocation surface and this predictor are close to the same variable, so the sector cannot test the predictor"
"coal allocation vs rice_fraction_combined, Spearman",+0.3800,rank correlation,inventory,"over 531 analysis cells; Pearson +0.1198. A high value means this sector's allocation surface and this predictor are close to the same variable, so the sector cannot test the predictor"
"landfills allocation vs impervious_fraction, Spearman",+0.8445,rank correlation,inventory,"over 926 analysis cells; Pearson +0.5917. A high value means this sector's allocation surface and this predictor are close to the same variable, so the sector cannot test the predictor"
"landfills allocation vs rice_fraction_combined, Spearman",+0.0527,rank correlation,inventory,"over 531 analysis cells; Pearson -0.1364. A high value means this sector's allocation surface and this predictor are close to the same variable, so the sector cannot test the predictor"
"wastewater allocation vs impervious_fraction, Spearman",+0.8993,rank correlation,inventory,"over 926 analysis cells; Pearson +0.7776. A high value means this sector's allocation surface and this predictor are close to the same variable, so the sector cannot test the predictor"
"wastewater allocation vs rice_fraction_combined, Spearman",+0.0716,rank correlation,inventory,"over 531 analysis cells; Pearson -0.1696. A high value means this sector's allocation surface and this predictor are close to the same variable, so the sector cannot test the predictor"
"oil_and_gas allocation vs impervious_fraction, Spearman",+0.6518,rank correlation,inventory,"over 926 analysis cells; Pearson +0.6071. A high value means this sector's allocation surface and this predictor are close to the same variable, so the sector cannot test the predictor"
"oil_and_gas allocation vs rice_fraction_combined, Spearman",+0.1158,rank correlation,inventory,"over 531 analysis cells; Pearson +0.0082. A high value means this sector's allocation surface and this predictor are close to the same variable, so the sector cannot test the predictor"
landfills and wastewater share an allocation mask,1,boolean,inventory,"identical nonzero cells on the lattice, which is what one allocation surface carrying two per-unit factors looks like"
